"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-03-27","15:59:00",6372,"1 Mar 30 6230 P STO 9.85 | 1 Mar 30 6130 P BTO 2.60",715,6366.96,"2026-03-27","16:00:00",810,"Exited at Specified Time",-99.8,-13.958041958041958,1,969260.2,8675,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.788,3.857,-23.27,-81.89,0,-11.89
"2026-03-27","15:59:00",6372,"1 Mar 30 6515 C STO 7.85 | 1 Mar 30 6615 C BTO 1.75",600,6366.96,"2026-03-27","16:00:00",575,"Exited at Specified Time",20.2,3.3666666666666663,1,969360,8675,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.486,4.324,-23.27,-81.89,5.83,0
"2026-03-27","15:58:00",6369.66,"1 Mar 30 6230 P STO 10.30 | 1 Mar 30 6130 P BTO 2.75",745,6372,"2026-03-27","15:59:00",735,"Exited at Specified Time",5.2,0.697986577181208,1,969339.8,8655,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.745,3.788,-23.27,-84.23,2.68,0
"2026-03-27","15:58:00",6369.66,"1 Mar 30 6515 C STO 7.85 | 1 Mar 30 6615 C BTO 1.85",590,6372,"2026-03-27","15:59:00",620,"Exited at Specified Time",-34.8,-5.898305084745762,1,969334.6,8655,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.243,4.486,-23.27,-84.23,0,-3.39
"2026-03-27","15:57:00",6369.14,"1 Mar 30 6225 P STO 9.80 | 1 Mar 30 6125 P BTO 2.70",700,6369.66,"2026-03-27","15:58:00",715,"Exited at Specified Time",-19.8,-2.8285714285714287,1,969369.4,8705,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.63,3.765,-23.27,-84.75,0,-0.71
"2026-03-27","15:57:00",6369.14,"1 Mar 30 6515 C STO 7.90 | 1 Mar 30 6615 C BTO 1.95",585,6369.66,"2026-03-27","15:58:00",610,"Exited at Specified Time",-29.8,-5.094017094017094,1,969389.2,8705,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.051,4.243,-23.27,-84.75,0,-2.56
"2026-03-27","15:56:00",6371.26,"1 Mar 30 6230 P STO 10.30 | 1 Mar 30 6130 P BTO 2.90",730,6369.14,"2026-03-27","15:57:00",770,"Exited at Specified Time",-44.8,-6.136986301369863,1,969419,8695,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.552,3.621,-23.27,-82.63,0,-4.11
"2026-03-27","15:56:00",6371.26,"1 Mar 30 6520 C STO 7.80 | 1 Mar 30 6620 C BTO 2.05",565,6369.14,"2026-03-27","15:57:00",565,"Exited at Specified Time",-4.8,-0.8495575221238937,1,969463.8,8695,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.805,4.083,-23.27,-82.63,1.77,0
"2026-03-27","15:55:00",6365.02,"1 Mar 30 6220 P STO 9.95 | 1 Mar 30 6120 P BTO 3.00",685,6371.26,"2026-03-27","15:56:00",650,"Exited at Specified Time",30.2,4.408759124087592,1,969468.6,8695,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.317,3.462,-23.27,-88.87,6.57,0
"2026-03-27","15:55:00",6365.02,"1 Mar 30 6510 C STO 8.25 | 1 Mar 30 6610 C BTO 2.05",610,6371.26,"2026-03-27","15:56:00",665,"Exited at Specified Time",-59.8,-9.80327868852459,1,969438.4,8695,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.024,3.787,-23.27,-88.87,0,-7.38
"2026-03-27","15:54:00",6367.37,"1 Mar 30 6225 P STO 10.20 | 1 Mar 30 6125 P BTO 3.05",705,6365.02,"2026-03-27","15:55:00",760,"Exited at Specified Time",-59.8,-8.482269503546098,1,969498.2,8665,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.344,3.419,-23.27,-86.52,0,-6.38
"2026-03-27","15:54:00",6367.37,"1 Mar 30 6510 C STO 8.30 | 1 Mar 30 6610 C BTO 2.00",620,6365.02,"2026-03-27","15:55:00",630,"Exited at Specified Time",-14.8,-2.3870967741935485,1,969558,8665,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.15,4.024,-23.27,-86.52,0,0
"2026-03-27","15:53:00",6357.9,"1 Mar 30 6210 P STO 10.00 | 1 Mar 30 6110 P BTO 3.10",680,6367.37,"2026-03-27","15:54:00",590,"Exited at Specified Time",85.2,12.529411764705884,1,969572.8,8690,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.226,3.231,-23.27,-95.99,14.71,0
"2026-03-27","15:53:00",6357.9,"1 Mar 30 6505 C STO 8.30 | 1 Mar 30 6605 C BTO 2.00",620,6367.37,"2026-03-27","15:54:00",685,"Exited at Specified Time",-69.8,-11.258064516129032,1,969487.6,8690,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.15,4.14,-23.27,-95.99,0,-8.87
"2026-03-27","15:52:00",6357.37,"1 Mar 30 6210 P STO 10.20 | 1 Mar 30 6110 P BTO 3.20",690,6357.9,"2026-03-27","15:53:00",700,"Exited at Specified Time",-14.8,-2.1449275362318843,1,969557.4,8715,"SPX","19 3:41 - 3:59 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,3.188,3.226,-23.27,-96.52,0,0
