"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-04-01","15:59:00",6577.61,"1 Apr 2 6485 P STO 10.10 | 1 Apr 2 6385 P BTO 2.00",800,6576.07,"2026-04-01","16:00:00",860,"Exited at Specified Time",-64.8,-8.1,1,955890.6,8425,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,5.05,5.595,28.04,21.05,0,-6.25
"2026-04-01","15:59:00",6577.61,"1 Apr 2 6655 C STO 8.30 | 1 Apr 2 6755 C BTO 0.55",765,6576.07,"2026-04-01","16:00:00",800,"Exited at Specified Time",-39.8,-5.202614379084967,1,955955.4,8425,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,15.091,18.556,28.04,21.05,0,-3.27
"2026-04-01","15:58:00",6576.55,"1 Apr 2 6480 P STO 9.70 | 1 Apr 2 6380 P BTO 1.90",770,6577.61,"2026-04-01","15:59:00",770,"Exited at Specified Time",-4.8,-0.6233766233766234,1,955995.2,8490,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,5.105,5.222,28.04,19.99,1.3,0
"2026-04-01","15:58:00",6576.55,"1 Apr 2 6655 C STO 7.90 | 1 Apr 2 6755 C BTO 0.50",730,6577.61,"2026-04-01","15:59:00",785,"Exited at Specified Time",-59.8,-8.191780821917808,1,956000,8490,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,15.8,15.091,28.04,19.99,0,-6.16
"2026-04-01","15:57:00",6574.97,"1 Apr 2 6480 P STO 9.90 | 1 Apr 2 6380 P BTO 2.05",775,6576.55,"2026-04-01","15:58:00",790,"Exited at Specified Time",-19.8,-2.5548387096774197,1,956059.8,8430,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,4.829,5.105,28.04,18.41,0,-0.65
"2026-04-01","15:57:00",6574.97,"1 Apr 2 6650 C STO 8.50 | 1 Apr 2 6750 C BTO 0.55",785,6576.55,"2026-04-01","15:58:00",855,"Exited at Specified Time",-74.8,-9.528662420382165,1,956079.6,8430,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,15.455,16.364,28.04,18.41,0,-7.64
"2026-04-01","15:56:00",6574.63,"1 Apr 2 6480 P STO 10.10 | 1 Apr 2 6380 P BTO 2.20",780,6574.97,"2026-04-01","15:57:00",795,"Exited at Specified Time",-19.8,-2.5384615384615383,1,956154.4,8440,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,4.591,4.829,28.04,18.07,0,-0.64
"2026-04-01","15:56:00",6574.63,"1 Apr 2 6650 C STO 8.30 | 1 Apr 2 6750 C BTO 0.50",770,6574.97,"2026-04-01","15:57:00",805,"Exited at Specified Time",-39.8,-5.1688311688311686,1,956174.2,8440,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,16.6,15.455,28.04,18.07,0,-3.25
"2026-04-01","15:55:00",6577.34,"1 Apr 2 6480 P STO 10.15 | 1 Apr 2 6380 P BTO 2.35",770,6574.63,"2026-04-01","15:56:00",800,"Exited at Specified Time",-34.8,-4.519480519480519,1,956214,8510,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,4.319,4.591,28.04,20.78,0,-2.6
"2026-04-01","15:55:00",6577.34,"1 Apr 2 6655 C STO 7.70 | 1 Apr 2 6755 C BTO 0.50",710,6574.63,"2026-04-01","15:56:00",695,"Exited at Specified Time",10.2,1.436619718309859,1,956248.8,8510,"SPX","19 3:41 - 3:59 - 1DTE IC  .25x EOD Close",2.4,2.4,15.4,16.222,28.04,20.78,3.52,0
