"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-04-02","15:59:00",6581.43,"1 Apr 6 6495 P STO 18.65 | 1 Apr 6 6395 P BTO 5.70",1285,6582.58,"2026-04-02","16:00:00",1300,"Exited at Specified Time",-19.8,-1.5408560311284047,1,167869,7370,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,3.272,3.389,-62.71,68.82,0,-0.39
"2026-04-02","15:59:00",6581.43,"1 Apr 6 6650 C STO 14.40 | 1 Apr 6 6750 C BTO 0.95",1335,6582.58,"2026-04-02","16:00:00",1345,"Exited at Specified Time",-14.8,-1.1086142322097379,1,167888.8,7370,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,15.158,16.706,-62.71,68.82,0,0
"2026-04-02","15:58:00",6582.62,"1 Apr 6 6500 P STO 19.35 | 1 Apr 6 6400 P BTO 6.00",1325,6581.43,"2026-04-02","15:59:00",1370,"Exited at Specified Time",-49.8,-3.758490566037736,1,167903.6,7430,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,3.225,3.23,-62.71,70.01,0,-2.64
"2026-04-02","15:58:00",6582.62,"1 Apr 6 6655 C STO 13.30 | 1 Apr 6 6755 C BTO 0.85",1235,6581.43,"2026-04-02","15:59:00",1220,"Exited at Specified Time",10.2,0.8259109311740891,1,167953.4,7430,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,15.647,16.125,-62.71,70.01,2.02,0
"2026-04-02","15:57:00",6581.08,"1 Apr 6 6495 P STO 18.65 | 1 Apr 6 6395 P BTO 5.85",1270,6582.62,"2026-04-02","15:58:00",1280,"Exited at Specified Time",-14.8,-1.1653543307086616,1,167943.2,7415,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,3.188,3.248,-62.71,68.47,0,0
"2026-04-02","15:57:00",6581.08,"1 Apr 6 6650 C STO 14.20 | 1 Apr 6 6750 C BTO 1.05",1305,6582.62,"2026-04-02","15:58:00",1390,"Exited at Specified Time",-89.8,-6.881226053639847,1,167958,7415,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,13.524,14.8,-62.71,68.47,0,-5.75
"2026-04-02","15:56:00",6582.32,"1 Apr 6 6495 P STO 18.60 | 1 Apr 6 6395 P BTO 5.90",1260,6581.08,"2026-04-02","15:57:00",1290,"Exited at Specified Time",-34.8,-2.7619047619047614,1,168047.8,7490,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,3.153,3.188,-62.71,69.71,0,-1.59
"2026-04-02","15:56:00",6582.32,"1 Apr 6 6655 C STO 13.45 | 1 Apr 6 6755 C BTO 0.95",1240,6581.08,"2026-04-02","15:57:00",1200,"Exited at Specified Time",35.2,2.838709677419355,1,168082.6,7490,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,14.158,14.222,-62.71,69.71,4.03,0
"2026-04-02","15:55:00",6578.76,"1 Apr 6 6490 P STO 18.90 | 1 Apr 6 6390 P BTO 6.10",1270,6582.32,"2026-04-02","15:56:00",1215,"Exited at Specified Time",50.2,3.9527559055118116,1,168047.4,7390,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,3.098,3.171,-62.71,66.15,5.12,0
"2026-04-02","15:55:00",6578.76,"1 Apr 6 6650 C STO 14.55 | 1 Apr 6 6750 C BTO 1.15",1330,6582.32,"2026-04-02","15:56:00",1390,"Exited at Specified Time",-64.8,-4.87218045112782,1,167997.2,7390,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,12.652,13.545,-62.71,66.15,0,-3.76
"2026-04-02","15:54:00",6577.8,"1 Apr 6 6490 P STO 19.20 | 1 Apr 6 6390 P BTO 6.20",1290,6578.76,"2026-04-02","15:55:00",1290,"Exited at Specified Time",-4.8,-0.37209302325581395,1,168062,7360,"SPX","19 3:41 - 3:59 Thursday - 2DTE IC  .25x EOD Close",2.4,2.4,3.097,3.098,-62.71,65.19,0.78,0
