"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Gap","Movement","Max Profit","Max Loss"
"2026-04-02","10:40:00",6589.34,"1 Apr 9 6700 C STO 27.65",2735,6568.05,"2026-04-02","15:45:00",1560,"Exited at Specified Time",1170.2,42.786106032906766,1,965475.8,120720.8,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,76.73,44.61,0
"2026-04-02","10:40:00",6589.34,"1 Apr 9 6395 P STO 27.35",2705,6576.26,"2026-04-02","10:41:00",3010,"Stop Loss",-309.8,-11.45286506469501,1,922962.6,120720.8,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,76.73,0,-11.09
"2026-04-02","10:39:00",6576.48,"1 Apr 9 6375 P STO 27.00",2670,6553.42,"2026-04-02","12:09:00",2970,"Stop Loss",-304.8,-11.415730337078651,1,922348,120177.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,63.87,14.04,-11.61
"2026-04-02","10:39:00",6576.48,"1 Apr 9 6690 C STO 26.95",2665,6589.34,"2026-04-02","10:40:00",2965,"Stop Loss",-304.8,-11.437148217636024,1,923272.4,120177.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,63.87,0,-17.26
"2026-04-02","10:38:00",6596.87,"1 Apr 9 6710 C STO 27.00",2670,6568.05,"2026-04-02","15:45:00",1300,"Exited at Specified Time",1365.2,51.131086142322104,1,966841,120624.4,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,84.26,51.87,0
"2026-04-02","10:38:00",6596.87,"1 Apr 9 6400 P STO 27.40",2710,6576.48,"2026-04-02","10:39:00",3015,"Stop Loss",-309.8,-11.431734317343174,1,923877,120624.4,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,84.26,0,-14.94
"2026-04-02","10:37:00",6586.5,"1 Apr 9 6395 P STO 26.80",2650,6576.48,"2026-04-02","10:39:00",2945,"Stop Loss",-299.8,-11.313207547169812,1,923577.2,120880,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,73.89,0,-14.34
"2026-04-02","10:37:00",6586.5,"1 Apr 9 6695 C STO 27.75",2745,6596.87,"2026-04-02","10:38:00",3050,"Stop Loss",-309.8,-11.285974499089253,1,924186.8,120880,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,73.89,0,-18.03
"2026-04-02","10:36:00",6560.28,"1 Apr 9 6380 P STO 27.35",2705,6556.67,"2026-04-02","11:52:00",3010,"Stop Loss",-309.8,-11.45286506469501,1,922652.8,119233.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,47.67,12.57,-10.35
"2026-04-02","10:36:00",6560.28,"1 Apr 9 6680 C STO 26.25",2595,6586.5,"2026-04-02","10:37:00",2885,"Stop Loss",-294.8,-11.360308285163777,1,924496.6,119233.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,47.67,0,-28.52
"2026-04-02","10:35:00",6546.28,"1 Apr 9 6355 P STO 26.60",2630,6568.05,"2026-04-02","15:45:00",2025,"Exited at Specified Time",600.2,22.8212927756654,1,978108.2,119553.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,33.67,25.86,-3.99
