"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-04-02","15:59:00",6581.43,"1 Apr 2 6580 P STO 0.80 | 1 Apr 2 6505 P BTO 0.05",65,6582.69,"2026-04-02","16:00:00",0,"Expired",62.6,96.3076923076923,1,1045231.6,7215,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,16,2,-62.71,68.82,100,0
"2026-04-02","15:59:00",6581.43,"1 Apr 2 6580 C STO 2.25 | 1 Apr 2 6655 C BTO 0.05",210,6582.58,"2026-04-02","16:00:00",405,"Stop Loss",-199.8,-95.14285714285715,1,1044981.4,7215,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,2.4,45,44,-62.71,68.82,0,-90.48
"2026-04-02","15:58:00",6582.62,"1 Apr 2 6585 P STO 3.10 | 1 Apr 2 6510 P BTO 0.05",295,6582.69,"2026-04-02","16:00:00",231,"Expired",61.6,20.88135593220339,1,1045711,7125,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,62,63,-62.71,70.01,21.69,-27.12
"2026-04-02","15:58:00",6582.62,"1 Apr 2 6585 C STO 0.85 | 1 Apr 2 6660 C BTO 0.05",70,6582.69,"2026-04-02","16:00:00",0,"Expired",67.6,96.57142857142857,1,1045446.8,7125,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,17,2,-62.71,70.01,100,0
"2026-04-02","15:57:00",6581.08,"1 Apr 2 6580 P STO 1.30 | 1 Apr 2 6505 P BTO 0.05",115,6582.69,"2026-04-02","16:00:00",0,"Expired",112.6,97.91304347826086,1,1048291.2,7125,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,26,2,-62.71,68.47,100,0
"2026-04-02","15:57:00",6581.08,"1 Apr 2 6580 C STO 2.65 | 1 Apr 2 6655 C BTO 0.05",250,6582.69,"2026-04-02","16:00:00",269,"Expired",-21.4,-8.559999999999999,1,1045847.2,7125,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,53,44,-62.71,68.47,12,-34
"2026-04-02","15:56:00",6582.32,"1 Apr 2 6585 C STO 1.15 | 1 Apr 2 6660 C BTO 0.05",100,6582.69,"2026-04-02","16:00:00",0,"Expired",97.6,97.6,1,1046930.4,7310,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,23,2,-62.71,69.71,100,0
"2026-04-02","15:56:00",6582.32,"1 Apr 2 6580 P STO 0.95 | 1 Apr 2 6505 P BTO 0.05",80,6581.08,"2026-04-02","15:57:00",165,"Stop Loss",-89.8,-112.25,1,970903,7310,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,2.4,19,26,-62.71,69.71,0,-93.75
"2026-04-02","15:55:00",6578.76,"1 Apr 2 6580 P STO 2.90 | 1 Apr 2 6505 P BTO 0.05",275,6582.69,"2026-04-02","16:00:00",0,"Expired",272.6,99.12727272727273,1,1047775.8,7045,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,58,2,-62.71,66.15,100,0
"2026-04-02","15:55:00",6578.76,"1 Apr 2 6580 C STO 1.85 | 1 Apr 2 6655 C BTO 0.05",170,6582.32,"2026-04-02","15:56:00",330,"Stop Loss",-164.8,-96.94117647058825,1,971162.6,7045,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,2.4,37,72,-62.71,66.15,0,-270.59
"2026-04-02","15:54:00",6577.8,"1 Apr 2 6575 P STO 1.05 | 1 Apr 2 6500 P BTO 0.05",90,6582.69,"2026-04-02","16:00:00",0,"Expired",87.6,97.33333333333333,1,1046427.6,7240,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,21,1,-62.71,65.19,100,0
"2026-04-02","15:54:00",6577.8,"1 Apr 2 6580 C STO 1.75 | 1 Apr 2 6655 C BTO 0.05",160,6582.32,"2026-04-02","15:56:00",315,"Stop Loss",-159.8,-99.875,1,971327.4,7240,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,2.4,35,72,-62.71,65.19,0,-293.75
"2026-04-02","15:53:00",6577.25,"1 Apr 2 6575 P STO 1.25 | 1 Apr 2 6500 P BTO 0.05",110,6582.69,"2026-04-02","16:00:00",0,"Expired",107.6,97.81818181818181,1,1047295.6,7230,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,25,1,-62.71,64.64,100,0
"2026-04-02","15:53:00",6577.25,"1 Apr 2 6580 C STO 1.65 | 1 Apr 2 6655 C BTO 0.05",150,6578.76,"2026-04-02","15:55:00",295,"Stop Loss",-149.8,-99.86666666666667,1,971622,7230,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,2.4,33,37,-62.71,64.64,0,-86.67
"2026-04-02","15:52:00",6577.39,"1 Apr 2 6575 P STO 1.50 | 1 Apr 2 6500 P BTO 0.05",135,6582.69,"2026-04-02","16:00:00",0,"Expired",132.6,98.22222222222223,1,1048031,7225,"SPX","19 3:41 - 3:59 - MEIC 2 .85x",2.4,0,30,1,-62.71,64.78,100,0
